//Star sprite spawned by paolo
8091 - 2384 3648 0
//Spirit cockatrice spawned by paolo
20617 - 3505 6164 0
//Lesser demon deacon spawned by paolo
20615 - 3504 6165 0
//Lesser demon executioner spawned by paolo
20614 - 3504 6165 0
//General Graardor spawned by paolo
6260 - 2222 3300 1
//Banker spawned by thomas
4456 - 2324 3734 0
//Banker spawned by thomas
4458 - 2323 3735 0
//Banker spawned by thomas
15839 - 2326 3725 0
//Banker spawned by thomas
15840 - 2325 3725 0
//Banker spawned by thomas
15841 - 2324 3725 0
//Banker spawned by thomas
15842 - 2323 3725 0
//Banker spawned by thomas
4456 - 2322 3732 0
//Banker spawned by thomas
4457 - 2321 3732 0
//Banker spawned by thomas
4458 - 2320 3732 0
//Banker spawned by thomas
4459 - 2319 3732 0
//Banker spawned by thomas
3418 - 2318 3732 0
//Banker spawned by thomas
3416 - 2317 3732 0
//Banker spawned by thomas
3293 - 2316 3732 0
//Banker spawned by thomas
3199 - 2315 3732 0
//Ogre spawned by paolo
115 - 2503 3114 0
//Ogre spawned by paolo
374 - 2505 3111 0
//Ogre guard spawned by paolo
857 - 2505 3108 0
//Ogre spawned by paolo
374 - 2507 3108 0
//Ogre spawned by paolo
374 - 2509 3100 0
//Ogre spawned by paolo
374 - 2516 3101 0
//Ogre spawned by paolo
374 - 2508 3109 0
//Ogre spawned by paolo
374 - 2508 3103 0
//Ogre spawned by paolo
374 - 2503 3099 0
//Ogre spawned by paolo
374 - 2498 3095 0
//Ogre spawned by paolo
374 - 2502 3092 0
//Ogre spawned by paolo
374 - 2502 3095 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Ogre spawned by paolo
374 - 2505 3116 0
//Man spawned by paolo
1 - 2339 3685 0
//Man spawned by paolo
1 - 2337 3684 0
//Man spawned by paolo
1 - 2342 3684 0
//Agrith Naar spawned by thomas
14502 - 3041 9833 0
//Man spawned by paolo
1 - 2333 3690 0
//Cockroach worker spawned by paolo
7159 - 1604 4507 0
//Cockroach worker spawned by thomas
7159 - 2347 3709 0
//Cockroach worker spawned by thomas
7159 - 2349 3712 0
//Cockroach worker spawned by thomas
7159 - 2342 3698 1
//Cockroach worker spawned by thomas
7159 - 2340 3697 1
//Cockroach worker spawned by thomas
7159 - 2343 3694 1
//Cockroach worker spawned by thomas
7159 - 2348 3692 1
//Cockroach worker spawned by thomas
7159 - 2350 3686 1
//Cockroach worker spawned by thomas
7159 - 2344 3685 1
//Cockroach worker spawned by thomas
7159 - 2339 3685 1
//Cockroach worker spawned by thomas
7159 - 2343 3691 1
//Cockroach worker spawned by thomas
7159 - 2346 3689 1
//Cockroach worker spawned by thomas
7159 - 2336 3715 0
//Man spawned by thomas
1 - 2340 3699 1
//Cockroach worker spawned by thomas
7159 - 2337 3712 0
//Banker spawned by thomas
4459 - 2329 3730 0
//Banker spawned by thomas
4458 - 2328 3730 0
//Banker spawned by thomas
4458 - 2327 3730 0
//Banker spawned by thomas
4458 - 2328 3730 0
//Banker spawned by thomas
4457 - 2327 3730 0
//Banker spawned by thomas
4456 - 2326 3730 0
//General Graardor spawned by paolo
6260 - 2332 3679 0
//General Graardor spawned by paolo
6260 - 2332 3682 0
//Blink spawned by paolo
12878 - 2330 3680 0
//Rocktail shoal spawned by thomas
8842 - 1826 5841 0
//Rocktail shoal spawned by thomas
8842 - 1821 5848 0
//Rocktail shoal spawned by thomas
8842 - 1820 5847 0
//Rocktail shoal spawned by thomas
8842 - 1819 5847 0
//Rocktail shoal spawned by thomas
8842 - 1819 5847 0
//Rocktail shoal spawned by thomas
8842 - 1819 5847 0
//Rocktail shoal spawned by thomas
8842 - 1819 5847 0
//Rocktail shoal spawned by thomas
8842 - 1819 5847 0
//Man spawned by thomas
1 - 2337 3708 0
//Man spawned by thomas
1 - 2339 3709 0
//Nymora, the Vengeful spawned by thomas
22454 - 2345 3725 0
//The dark Lord spawned by thomas
19553 - 2369 3715 0
//Magic training dummy spawned by thomas
16713 - 2386 3698 0
//Party Demon spawned by thomas
15581 - 2391 3690 0
//Fremennik shipmaster spawned by thomas
14847 - 2437 3681 0
//Nex spawned by thomas
13450 - 2438 3678 0
//Pest Queen spawned by thomas
6358 - 2439 3657 0
//Void Knight spawned by thomas
3782 - 2437 3643 0
//Jogre Champion spawned by thomas
3063 - 2436 3639 0
//Jogre Champion spawned by thomas
3063 - 2434 3633 0
//Jogre Champion spawned by thomas
3063 - 2433 3630 0
//Jogre Champion spawned by thomas
3063 - 2344 3707 0
//Jogre Champion spawned by thomas
3063 - 2347 3708 0
//Papa Mambo spawned by thomas
3122 - 2965 2885 0
//Leprechaun spawned by thomas
418 - 2969 2882 0
//Leprechaun spawned by thomas
419 - 2977 2876 0
//Tool leprechaun spawned by thomas
3021 - 2975 2872 0
//Tool leprechaun spawned by thomas
3121 - 2976 2868 0
//Leprechaun spawned by thomas
13655 - 2975 2868 0
//Leprechaun Champion spawned by thomas
8993 - 2971 2866 0
//Goth leprechaun spawned by thomas
8000 - 2966 2864 0
//Tool leprechaun spawned by thomas
7569 - 2965 2864 0
//Lucy spawned by thomas
19301 - 2153 5530 3
//Lucy spawned by thomas
19301 - 2153 5530 3
//Lucy spawned by thomas
19301 - 2149 5530 3
//Lucy spawned by thomas
19301 - 2153 5530 3
//Penguin spawned by thomas
9234 - 2152 5529 3
//Penguin spawned by thomas
5445 - 2152 5531 3
//Ogress banker spawned by thomas
7050 - 2324 3732 0
//Banker spawned by thomas
6200 - 2320 3735 0
//Fremennik banker spawned by thomas
9710 - 2318 3737 0
//Sirsal Banker spawned by thomas
4519 - 2320 3744 0
//"Banker" spawned by thomas
17765 - 2323 3743 0
//Gnome banker spawned by thomas
16604 - 2323 3742 0
//Gnome banker spawned by thomas
16604 - 2345 3745 0
//Gnome banker spawned by thomas
16602 - 2154 5513 3
//Gnome banker spawned by thomas
16603 - 2155 5513 3
//Gnome banker spawned by thomas
16604 - 2156 5513 3
//null spawned by thomas
16605 - 2157 5513 3
//Snow mage spawned by thomas
16601 - 2157 5514 3
//Gnome banker spawned by thomas
16603 - 2151 5524 3
//Gnome banker spawned by thomas
16602 - 2150 5524 3
//Jogre Champion spawned by thomas
3063 - 2136 5537 3
//Jogre Champion spawned by thomas
3063 - 2137 5537 3
//Jogre Champion spawned by thomas
3063 - 2137 5536 3
//Jogre Champion spawned by thomas
3063 - 2137 5537 3
//Jogre Champion spawned by thomas
3063 - 2137 5535 3
//Jogre Champion spawned by thomas
3063 - 2136 5537 3
//Ice demon spawned by thomas
20429 - 2156 5522 3
//Fishing spot spawned by thomas
14907 - 3282 2640 0
//Fishing spot spawned by thomas
14907 - 2153 5539 3
//Leprechaun spawned by thomas
418 - 2144 5535 3
//Leprechaun spawned by thomas
419 - 2144 5534 3
//Leprechaun spawned by thomas
418 - 2149 5531 3
//Leprechaun spawned by thomas
418 - 2149 5532 3
//Leprechaun spawned by thomas
418 - 2150 5530 3
//Leprechaun spawned by thomas
418 - 2153 5530 3
//Sylas spawned by thomas
5987 - 2147 5530 3
//Leprechaun spawned by thomas
418 - 2147 5529 3
