//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
1 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
2 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//avaryss
3 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
4 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//kk
5 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//
6 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//
7 - 120 422 424 836 4 1 60 19 MELEE -1 -1 PASSIVE
// legions
8 - 160 422 424 836 4 1 60 20 MELEE -1 -1 PASSIVE
//
9 - 220 390 424 836 5 1 60 34 MELEE -1 -1 PASSIVE
//
13 - 140 422 424 836 4 1 60 40 MAGE -1 -1 PASSIVE
//
15 - 500 386 424 836 5 1 60 90 MELEE -1 -1 PASSIVE
//
16 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
18 - 190 390 424 836 4 1 60 30 MELEE -1 -1 PASSIVE
//
19 - 530 7042 425 836 8 1 60 60 MELEE -1 -1 PASSIVE
//
20 - 660 390 424 836 5 1 60 89 MELEE -1 -1 PASSIVE
//
21 - 880 -1 -1 -1 4 1 60 91 MELEE -1 -1 PASSIVE
//
23 - 400 390 424 836 4 1 60 70 MELEE -1 -1 PASSIVE
//
24 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
25 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//
26 - 400 390 424 836 4 1 60 70 MELEE -1 -1 PASSIVE
//
32 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
38 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Airut
39 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Edimmu
41 - 30 5387 5388 5389 5 1 60 15 MELEE -1 -1 PASSIVE
//Adamant dragon - 116
46 - 30 -1 -1 -1 4 1 60 8 MELEE -1 -1 PASSIVE
//Rune dragon - 127
47 - 20 -1 -1 -1 5 1 60 15 MELEE -1 -1 PASSIVE
//
48 - 400 -1 -1 -1 5 1 60 50 MELEE -1 -1 PASSIVE
//
49 - 1150 6562 6563 6564 5 1 60 118 MELEE -1 -1 AGRESSIVE
//World gorger - 48
50 - 2400 91 89 92 5 2 60 254 SPECIAL -1 -1 AGRESSIVE
//custom boss
51 - 1600 13151 13154 13153 5 1 60 213 SPECIAL -1 -1 AGRESSIVE
//custom boss
52 - 510 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE
//Necrolord
53 - 1400 12252 12251 12250 5 1 60 144 SPECIAL2 -1 -1 AGRESSIVE
//automaton
54 - 1900 12252 12251 12250 5 1 60 214 SPECIAL2 -1 -1 AGRESSIVE
//dummy
55 - 1050 12252 12251 12250 5 1 60 110 SPECIAL2 -1 -1 AGRESSIVE
//dummy
58 - 550 5327 5328 5329 4 1 60 56 MELEE -1 -1 AGRESSIVE
//
59 - 67 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE
//
60 - 320 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE
//stage1
61 - 20 -1 -1 -1 4 1 60 15 MELEE -1 -1 AGRESSIVE
//NEW: Vorago
62 - 500 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
63 - 350 5327 5328 5329 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
64 - 650 5327 5328 5329 5 2 60 60 MELEE -1 -1 AGRESSIVE
//stage2
66 - 20 191 193 196 4 2 60 10 MELEE -1 -1 PASSIVE
//
67 - 20 190 193 196 4 2 60 10 RANGE -1 -1 PASSIVE
//boss
68 - 20 190 193 196 4 2 60 10 RANGE -1 -1 PASSIVE
//Pest Control Knights
73 - 220 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//
74 - 240 5578 -1 5580 4 1 60 0 MELEE -1 -1 AGRESSIVE
//
75 - 300 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Dummies
76 - 300 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Dung Bosses
78 - 320 23639 23638 23640 4 1 36 0 MELEE -1 -1 AGRESSIVE
//
79 - 780 23639 23638 23640 4 1 60 80 MELEE -1 -1 AGRESSIVE
//
81 - 107 245 150 244 6 1 60 15 MELEE -1 -1 PASSIVE
//
82 - 790 64 65 67 5 1 60 85 MELEE -1 -1 AGRESSIVE
//
83 - 870 64 65 67 5 1 60 97 MELEE -1 -1 AGRESSIVE
//
84 - 1570 64 65 67 5 1 60 167 MELEE -1 -1 AGRESSIVE
//
86 - 53 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//Christmas Event
87 - 100 14859 14861 14860 5 1 60 17 MELEE -1 -1 AGRESSIVE
//
88 - 120 -1 -1 -1 5 1 60 20 MELEE -1 -1 AGRESSIVE
//
90 - 210 12632 5489 5491 5 1 40 20 MELEE -1 -1 AGRESSIVE
//Tree Spirit
91 - 210 12632 5489 5491 5 1 40 20 MELEE -1 -1 AGRESSIVE
//High Level Lesser Demon
92 - 210 12632 5489 5491 5 1 40 20 MELEE -1 -1 AGRESSIVE
//High Level Ice Giant
93 - 210 12632 5489 5491 5 1 40 20 MELEE -1 -1 AGRESSIVE
//High Level Hill giant
94 - 170 -1 -1 -1 4 1 60 100 MAGE -1 -1 PASSIVE
//High Level Fire Giant
95 - 690 6559 6557 6558 4 1 60 100 MELEE -1 -1 AGRESSIVE
//High Chronozon
96 - 70 6559 6557 6558 4 1 60 10 MELEE -1 -1 PASSIVE
//High Agrith Naar
97 - 450 6559 6557 6558 4 1 60 60 MELEE -1 -1 AGRESSIVE
//Party Demon
100 - 50 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//TokHaar-Ket champion
101 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Grifolapine
102 - 120 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Grifolaroo
103 - 250 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//Infested Axe
104 - 250 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//Fungal Mage
105 - 270 4925 4927 4929 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Fungal Rodents
106 - 250 -1 -1 -1 4 1 60 40 MELEE -1 -1 PASSIVE
//Experiments
107 - 170 6254 6255 6256 3 1 60 30 MELEE -1 -1 AGRESSIVE
//
108 - 230 6254 6255 6256 4 1 60 30 MELEE -1 -1 AGRESSIVE
//
109 - 320 6261 6259 6260 4 1 60 30 MELEE -1 -1 AGRESSIVE
//stuff
110 - 1110 4652 4651 4653 6 3 45 116 MELEE -1 -1 AGRESSIVE
//
111 - 700 4672 4671 4673 6 1 60 77 MELEE -1 -1 AGRESSIVE
//
112 - 600 4652 4651 4653 7 4 30 110 MELEE -1 -1 AGRESSIVE
//
113 - 600 2100 8578 8576 7 1 60 73 MELEE -1 -1 AGRESSIVE
//
114 - 480 2100 8578 8576 5 1 60 89 MELEE -1 -1 AGRESSIVE
//
115 - 600 2100 8578 8576 7 1 60 73 MELEE -1 -1 PASSIVE
//PC Portals
116 - 750 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE
//
117 - 350 4652 4654 4653 7 1 60 48 MELEE -1 -1 AGRESSIVE
//
118 - 160 99 100 102 7 1 60 48 MELEE -1 -1 PASSIVE
//
119 - 610 -1 -1 -1 5 1 60 63 MELEE -1 -1 AGRESSIVE
//Pest Invasion
124 - 540 -1 -1 -1 5 1 60 56 MELEE -1 -1 AGRESSIVE
//Splatters
125 - 590 391 -1 843 5 1 60 61 MELEE -1 -1 AGRESSIVE
//
126 - 660 14094 14095 14096 5 1 60 70 MELEE -1 -1 PASSIVE
//
127 - 440 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
132 - 50 220 221 223 5 3 60 72 MELEE -1 -1 AGRESSIVE
//
133 - 290 6376 6375 6377 5 1 60 38 MELEE -1 -1 PASSIVE
//Shifters
134 - 640 5327 5328 5329 5 2 60 72 MELEE -1 -1 AGRESSIVE
//
